support,itemsets
0.003650198655042188,"frozenset({'SKU_3898011', 'SKU_3524026'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_3524026'})"
0.00602282778081961,"frozenset({'SKU_3978011', 'SKU_3524026'})"
0.0012073734012831851,"frozenset({'SKU_3998011', 'SKU_3524026'})"
0.0006036867006415926,"frozenset({'SKU_4008011', 'SKU_3524026'})"
0.000533490572660012,"frozenset({'SKU_4208011', 'SKU_3524026'})"
0.0015021971388058234,"frozenset({'SKU_6318344', 'SKU_3524026'})"
0.0005054121214673799,"frozenset({'SKU_7064350', 'SKU_3524026'})"
0.000519451347063696,"frozenset({'SKU_7261032', 'SKU_3524026'})"
0.0007721574077973859,"frozenset({'SKU_9402188', 'SKU_3524026'})"
0.0008283143101826503,"frozenset({'SKU_3898011', 'SKU_3559555'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_3559555'})"
0.0016425893947689845,"frozenset({'SKU_3978011', 'SKU_3559555'})"
0.0007300397310084376,"frozenset({'SKU_3559555', 'SKU_3998011'})"
0.0010108242429347598,"frozenset({'SKU_4108011', 'SKU_3559555'})"
0.0009967850173384436,"frozenset({'SKU_6318344', 'SKU_3559555'})"
0.0009546673405494953,"frozenset({'SKU_3581365', 'SKU_3611367'})"
0.0006738828286231731,"frozenset({'SKU_3581365', 'SKU_3631365'})"
0.0006598436030268571,"frozenset({'SKU_3978011', 'SKU_3582465'})"
0.0006177259262379087,"frozenset({'SKU_4108011', 'SKU_3582465'})"
0.000519451347063696,"frozenset({'SKU_9402188', 'SKU_3582465'})"
0.0009406281149531791,"frozenset({'SKU_3631365', 'SKU_3611367'})"
0.000533490572660012,"frozenset({'SKU_3968356', 'SKU_3611367'})"
0.000533490572660012,"frozenset({'SKU_3611367', 'SKU_3998011'})"
0.0005615690238526443,"frozenset({'SKU_3631365', 'SKU_3968356'})"
0.0006879220542194892,"frozenset({'SKU_3631365', 'SKU_3998011'})"
0.0006177259262379087,"frozenset({'SKU_3672270', 'SKU_7783784'})"
0.0007440789566047536,"frozenset({'SKU_4108011', 'SKU_3683946'})"
0.0020216484858695196,"frozenset({'SKU_3898011', 'SKU_3690654'})"
0.0027657274424742733,"frozenset({'SKU_3968011', 'SKU_3690654'})"
0.000533490572660012,"frozenset({'SKU_6318344', 'SKU_3690654'})"
0.0005756082494489604,"frozenset({'SKU_3854099', 'SKU_3868338'})"
0.0005756082494489604,"frozenset({'SKU_3864099', 'SKU_6126322'})"
0.0008563927613752826,"frozenset({'SKU_3978011', 'SKU_3868338'})"
0.000519451347063696,"frozenset({'SKU_4108011', 'SKU_3868338'})"
0.0005756082494489604,"frozenset({'SKU_3868338', 'SKU_4976322'})"
0.004618905221187999,"frozenset({'SKU_3968011', 'SKU_3898011'})"
0.005138356568251695,"frozenset({'SKU_3898011', 'SKU_3978011'})"
0.0007300397310084376,"frozenset({'SKU_3898011', 'SKU_3988011'})"
0.0013898833340352946,"frozenset({'SKU_3898011', 'SKU_3998011'})"
0.0008844712125679147,"frozenset({'SKU_3898011', 'SKU_4108011'})"
0.0013477656572463462,"frozenset({'SKU_4440924', 'SKU_3898011'})"
0.0018531777787137262,"frozenset({'SKU_3908011', 'SKU_3988011'})"
0.0017127855227505651,"frozenset({'SKU_3908011', 'SKU_3998011'})"
0.0007019612798158054,"frozenset({'SKU_3968011', 'SKU_4008011'})"
0.0007721574077973859,"frozenset({'SKU_3968011', 'SKU_4108011'})"
