antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SKU_1842285'}),frozenset({'SKU_4992993'}),0.00703365202375437,0.011736792598520266,0.0005615690238526443,0.07984031936127745,6.802567114574678,0.0004790165088396769,1.0740127264818684
frozenset({'SKU_7261032'}),frozenset({'SKU_264715'}),0.006233416164764352,0.012312400847969225,0.000519451347063696,0.08333333333333334,6.768244013683011,0.00044270302859090636,1.0774773808931244
frozenset({'SKU_264715'}),frozenset({'SKU_7261032'}),0.012312400847969225,0.006233416164764352,0.000519451347063696,0.042189281641961236,6.76824401368301,0.00044270302859090636,1.037539635742264
frozenset({'SKU_3978011'}),frozenset({'SKU_3898011'}),0.04217383369133359,0.018012326440073567,0.005138356568251695,0.12183754993342209,6.764120689172036,0.004378707708574021,1.1182300877081195
frozenset({'SKU_3898011'}),frozenset({'SKU_3978011'}),0.018012326440073567,0.04217383369133359,0.005138356568251695,0.28526890101325014,6.764120689172035,0.004378707708574021,1.3401210156750478
frozenset({'SKU_2726578'}),frozenset({'SKU_3611367'}),0.013463617346867147,0.006640553707057519,0.0006036867006415926,0.04483837330552659,6.752204000379183,0.00051428082655845,1.0399909486844234
frozenset({'SKU_3611367'}),frozenset({'SKU_2726578'}),0.006640553707057519,0.013463617346867147,0.0006036867006415926,0.0909090909090909,6.752204000379182,0.00051428082655845,1.0851900209184462
frozenset({'SKU_6126322'}),frozenset({'SKU_3864099'}),0.006317651518342248,0.013533813474848727,0.0005756082494489604,0.09111111111111111,6.732109266943293,0.0004901063322006215,1.085353994954323
frozenset({'SKU_3864099'}),frozenset({'SKU_6126322'}),0.013533813474848727,0.006317651518342248,0.0005756082494489604,0.04253112033195021,6.732109266943292,0.0004901063322006215,1.0378220844380477
frozenset({'SKU_348498'}),frozenset({'SKU_264715'}),0.007005573572561738,0.012312400847969225,0.0005475297982563282,0.0781563126252505,6.347771940688675,0.00046127436826100824,1.0714263303844855
frozenset({'SKU_264715'}),frozenset({'SKU_348498'}),0.012312400847969225,0.007005573572561738,0.0005475297982563282,0.04446978335233751,6.347771940688674,0.00046127436826100824,1.0392077708554457
frozenset({'SKU_3998011'}),frozenset({'SKU_9594893'}),0.01781577728172514,0.005096238891462747,0.0005756082494489604,0.03230890464933018,6.339754736273111,0.0004848147923841943,1.028121231959881
frozenset({'SKU_9594893'}),frozenset({'SKU_3998011'}),0.005096238891462747,0.01781577728172514,0.0005756082494489604,0.11294765840220386,6.339754736273111,0.0004848147923841943,1.1072449467289869
frozenset({'SKU_3582465'}),frozenset({'SKU_9402188'}),0.00735655421246964,0.011245419702649202,0.000519451347063696,0.07061068702290077,6.279061954998999,0.0004367238073791829,1.0638755648373959
frozenset({'SKU_9402188'}),frozenset({'SKU_3582465'}),0.011245419702649202,0.00735655421246964,0.000519451347063696,0.046192259675405745,6.279061954998999,0.0004367238073791829,1.040716492245827
frozenset({'SKU_4992993'}),frozenset({'SKU_2072671'}),0.011736792598520266,0.012256243945583962,0.0008844712125679147,0.07535885167464114,6.14860898732304,0.000740622219341726,1.0682455110756686
frozenset({'SKU_2072671'}),frozenset({'SKU_4992993'}),0.012256243945583962,0.011736792598520266,0.0008844712125679147,0.07216494845360824,6.14860898732304,0.000740622219341726,1.065128123532706
frozenset({'SKU_3898011'}),frozenset({'SKU_2716578'}),0.018012326440073567,0.009911693270999172,0.0010950595965126563,0.0607950116913484,6.133665563403761,0.0009165269417415387,1.0541770104010855
frozenset({'SKU_2716578'}),frozenset({'SKU_3898011'}),0.009911693270999172,0.018012326440073567,0.0010950595965126563,0.11048158640226628,6.133665563403761,0.0009165269417415387,1.103954295435204
frozenset({'SKU_3524026'}),frozenset({'SKU_3898011'}),0.033048337053728116,0.018012326440073567,0.003650198655042188,0.11045029736618522,6.131928473184729,0.003054921219728858,1.1039154649283986
frozenset({'SKU_3898011'}),frozenset({'SKU_3524026'}),0.018012326440073567,0.033048337053728116,0.003650198655042188,0.20265003897116132,6.131928473184728,0.003054921219728858,1.2127067287977191
frozenset({'SKU_2698353'}),frozenset({'SKU_9277426'}),0.026730685535385868,0.011090988221089724,0.0017970208763284617,0.06722689075630252,6.0613977236464205,0.0015005511579138436,1.0601817333485615
frozenset({'SKU_9277426'}),frozenset({'SKU_2698353'}),0.011090988221089724,0.026730685535385868,0.0017970208763284617,0.1620253164556962,6.0613977236464205,0.0015005511579138436,1.1614543178656271
frozenset({'SKU_3629770'}),frozenset({'SKU_2783996'}),0.003804630136601665,0.02873829479565907,0.0006317651518342248,0.16605166051660517,5.77806239713594,0.0005224265693801176,1.1646545226122849
frozenset({'SKU_2783996'}),frozenset({'SKU_3629770'}),0.02873829479565907,0.003804630136601665,0.0006317651518342248,0.021983390327308255,5.7780623971359395,0.0005224265693801176,1.0185873736815065
frozenset({'SKU_9667426'}),frozenset({'SKU_2698353'}),0.0051945134706369595,0.026730685535385868,0.0007721574077973859,0.14864864864864866,5.560974051782876,0.0006333045017044635,1.1432052265139914
frozenset({'SKU_2698353'}),frozenset({'SKU_9667426'}),0.026730685535385868,0.0051945134706369595,0.0007721574077973859,0.02888655462184874,5.560974051782876,0.0006333045017044635,1.0243967800713398
frozenset({'SKU_2726578'}),frozenset({'SKU_3988011'}),0.013463617346867147,0.008844712125679147,0.000645804377430541,0.04796663190823775,5.423198768558519,0.000526722557827201,1.0410930132217675
frozenset({'SKU_3988011'}),frozenset({'SKU_2726578'}),0.008844712125679147,0.013463617346867147,0.000645804377430541,0.07301587301587302,5.423198768558518,0.000526722557827201,1.0642430155333453
"frozenset({'SKU_6318344', 'SKU_4108011'})",frozenset({'SKU_3978011'}),0.0026814920888963765,0.04217383369133359,0.0005896474750452766,0.2198952879581152,5.214021792932286,0.00047655867364353405,1.2278174346641295
frozenset({'SKU_3978011'}),"frozenset({'SKU_6318344', 'SKU_4108011'})",0.04217383369133359,0.0026814920888963765,0.0005896474750452766,0.013981358189081226,5.214021792932286,0.00047655867364353405,1.0114600937761498
frozenset({'SKU_6318344'}),"frozenset({'SKU_4108011', 'SKU_3978011'})",0.025551390585295316,0.004604865995591683,0.0005896474750452766,0.023076923076923078,5.011421200750469,0.00047198674539896865,1.018908404886402
"frozenset({'SKU_4108011', 'SKU_3978011'})",frozenset({'SKU_6318344'}),0.004604865995591683,0.025551390585295316,0.0005896474750452766,0.12804878048780488,5.011421200750469,0.00047198674539896865,1.117549454153927
frozenset({'SKU_5928099'}),frozenset({'SKU_5528349'}),0.0035098063990790266,0.03396088671748866,0.0005896474750452766,0.168,4.946867300537413,0.0004704513375258369,1.161104703464557
frozenset({'SKU_5528349'}),frozenset({'SKU_5928099'}),0.03396088671748866,0.0035098063990790266,0.0005896474750452766,0.017362546506821,4.946867300537413,0.0004704513375258369,1.014097508759204
frozenset({'SKU_3631365'}),frozenset({'SKU_3998011'}),0.00790408401072597,0.01781577728172514,0.0006879220542194892,0.08703374777975133,4.88520632041285,0.0005471046538683506,1.0758165707984217
frozenset({'SKU_3998011'}),frozenset({'SKU_3631365'}),0.01781577728172514,0.00790408401072597,0.0006879220542194892,0.038613081166272656,4.88520632041285,0.0005471046538683506,1.0319423913035972
frozenset({'SKU_3968011'}),frozenset({'SKU_4008011'}),0.01861601314071516,0.007721574077973859,0.0007019612798158054,0.03770739064856712,4.883381324557795,0.0005582163553132385,1.0311608093829205
frozenset({'SKU_4008011'}),frozenset({'SKU_3968011'}),0.007721574077973859,0.01861601314071516,0.0007019612798158054,0.09090909090909091,4.883381324557795,0.0005582163553132385,1.0795223855452134
frozenset({'SKU_9402188'}),frozenset({'SKU_264715'}),0.011245419702649202,0.012312400847969225,0.000645804377430541,0.05742821473158552,4.664258046882674,0.0005073462623478731,1.0478645919480485
